1,20,P,0.40582256155582386
0,1,29,P,0.06188794064696671
0,1,82,P,0.06188794064694839
0,1,81,P,0.06188794064694682
0,1,32,P,0.06188794064694682
0,1,31,P,0.03667433514383903
0,1,34,P,0.03667433513903225
0,1,25,P,0.026108974929198635
0,1,35,P,0.026108973893300302
1,15,P,0.025363910104266533
0,1,28,P,0.016580914938728222
0,1,39,P,0.016580904599251836
0,1,30,P,0.01402449496953022
0,1,66,P,0.01402449444426815
0,1,21,P,0.014024493898230737
0,1,76,P,0.012151540357159655
0,1,70,P,0.008675193062915176
0,1,27,P,0.007917176147487512
0,1,22,P,0.007286189546325912
0,1,68,P,0.007285944513275738
0,1,37,P,0.006743515615411755
0,1,40,P,0.006741875607178551
0,1,67,P,0.00673754259381012
0,1,71,P,0.00626906788673825
0,1,24,P,0.006260699519367957
0,1,72,P,0.0058477740416326
0,1,73,P,0.005494629699002063
0,1,74,P,0.005167750722899779
0,1,69,P,0.005164605703846995
0,1,75,P,0.004863914857288319
0,1,78,P,0.004392093718654798
0,1,23,P,0.004387843441539408
0,1,41,P,0.004380554994842364
33,P,0.0025987612762280845
36,P,0.0013737691315737453
1,11,P,6.089466273595399E-4
38,P,6.235598928727399E-5
42,P,4.809874289596192E-5
