158,12,P,0.07
0,P,0.07
50,5,P,0.05
50,158,P,0.03
50,167,P,0.02
158,67,P,0.02
158,215,P,0.02
158,174,P,0.02
158,172,P,0.02
158,162,P,0.02
90,158,P,0.01
52,158,P,0.01
50,51,P,0.01
50,4,P,0.01
50,230,P,0.01
50,207,P,0.01
50,205,P,0.01
50,177,P,0.01
50,168,P,0.01
50,157,P,0.01
50,142,P,0.01
44,50,P,0.01
32,50,P,0.01
3,5,12,P,0.01
215,5,P,0.01
207,12,P,0.01
172,5,P,0.01
158,74,P,0.01
158,73,P,0.01
158,71,P,0.01
158,69,P,0.01
158,68,P,0.01
158,66,P,0.01
158,65,P,0.01
158,63,P,0.01
158,62,P,0.01
158,33,P,0.01
158,25,P,0.01
158,232,P,0.01
158,228,P,0.01
158,214,P,0.01
158,212,P,0.01
158,184,P,0.01
158,182,P,0.01
158,173,P,0.01
158,163,P,0.01
157,12,P,0.01
130,158,P,0.01
113,158,P,0.01
100,P,0.01
1,P,0.0
